"","Education","MaritalStatus","HHIncome2"
"5837","High School","NeverMarried","more 99999"
"5838","High School","NeverMarried","more 99999"
"5839","High School","NeverMarried","more 99999"
"5840","High School","NeverMarried","more 99999"
"5841","High School","NeverMarried","more 99999"
"5842","College Grad","Married","45000-54999"
"5843","9 - 11th Grade","LivePartner","75000-99999"
"5844","9 - 11th Grade","LivePartner","75000-99999"
"5845","College Grad","Married","more 99999"
"5846","College Grad","NeverMarried","35000-44999"
"5847","Some College","NeverMarried","75000-99999"
"5848","College Grad","Married","75000-99999"
"5849","College Grad","Married","more 99999"
"5850","College Grad","Married","more 99999"
"5851","College Grad","Married","more 99999"
"5852","9 - 11th Grade","Widowed","20000-24999"
"5853","9 - 11th Grade","Widowed","20000-24999"
"5854","8th Grade","Widowed","<20000"
"5855","College Grad","Married","more 99999"
"5856","College Grad","Married","more 99999"
"5857","College Grad","Married","more 99999"
"5858","Some College","Separated","75000-99999"
"5859","Some College","Divorced","25000-34999"
"5860","9 - 11th Grade","Divorced","<20000"
"5861","9 - 11th Grade","Divorced","<20000"
"5862","High School","Divorced","<20000"
"5863","High School","NeverMarried","<20000"
"5864","High School","NeverMarried","<20000"
"5865","High School","NeverMarried","<20000"
"5866","High School","NeverMarried","<20000"
"5867","High School","Married","more 99999"
"5868","High School","Married","more 99999"
"5869","High School","Married","more 99999"
"5870","Some College","NeverMarried","<20000"
"5871","Some College","NeverMarried","<20000"
"5872","Some College","Married","<20000"
"5873","High School","Married","45000-54999"
"5874","College Grad","NeverMarried","55000-64999"
"5875","Some College","Married","55000-64999"
"5876","Some College","Married","55000-64999"
"5877","Some College","Married","55000-64999"
"5878","9 - 11th Grade","Married","20000-24999"
"5879","College Grad","NeverMarried","45000-54999"
"5880","College Grad","NeverMarried","45000-54999"
"5881","College Grad","NeverMarried","45000-54999"
"5882","College Grad","NeverMarried","45000-54999"
"5883","High School","Divorced","<20000"
"5884","College Grad","Married","more 99999"
"5885","High School","Married","35000-44999"
"5886","College Grad","Married","more 99999"
"5887","College Grad","Married","more 99999"
"5888","College Grad","Married","more 99999"
"5889","College Grad","Widowed","<20000"
"5890","College Grad","Widowed","<20000"
"5891","Some College","Divorced","35000-44999"
"5892","Some College","Divorced","35000-44999"
"5893","9 - 11th Grade","Widowed","<20000"
"5894","Some College","NeverMarried","<20000"
"5895","Some College","NeverMarried","<20000"
"5896","Some College","Separated","25000-34999"
"5897","High School","Married","55000-64999"
"5898","Some College","Widowed","35000-44999"
"5899","8th Grade","Married","<20000"
"5900","College Grad","Divorced","<20000"
"5901","College Grad","Married","more 99999"
"5902","College Grad","Married","more 99999"
"5903","College Grad","Married","more 99999"
"5904","College Grad","Married","more 99999"
"5905","College Grad","Married","more 99999"
"5906","8th Grade","Widowed","<20000"
"5907","8th Grade","Widowed","<20000"
"5908","8th Grade","Widowed","<20000"
"5909","High School","Married","25000-34999"
"5910","Some College","Married","25000-34999"
"5911","College Grad","Married","more 99999"
"5912","College Grad","Married","more 99999"
"5913","9 - 11th Grade","Married","<20000"
"5914","9 - 11th Grade","Married","35000-44999"
"5915","9 - 11th Grade","Married","35000-44999"
"5916","Some College","Married","65000-74999"
"5917","Some College","Married","65000-74999"
"5918","Some College","Married","65000-74999"
"5919","College Grad","Married","more 99999"
"5920","College Grad","Married","more 99999"
"5921","College Grad","Married","more 99999"
"5922","Some College","Widowed","25000-34999"
"5923","College Grad","Married","more 99999"
"5924","8th Grade","LivePartner","20000-24999"
"5925","College Grad","Married","more 99999"
"5926","High School","LivePartner","<20000"
"5927","9 - 11th Grade","Married","more 99999"
"5928","9 - 11th Grade","Married","more 99999"
"5929","Some College","LivePartner","75000-99999"
"5930","Some College","NeverMarried","<20000"
"5931","Some College","NeverMarried","<20000"
"5932","Some College","NeverMarried","<20000"
"5933","High School","NeverMarried","more 99999"
"5934","High School","NeverMarried","more 99999"
"5935","High School","NeverMarried","more 99999"
"5936","High School","NeverMarried","more 99999"
"5937","High School","NeverMarried","more 99999"
"5938","9 - 11th Grade","Married","35000-44999"
"5939","9 - 11th Grade","NeverMarried","25000-34999"
"5940","9 - 11th Grade","NeverMarried","25000-34999"
"5941","9 - 11th Grade","NeverMarried","65000-74999"
"5942","College Grad","Married","more 99999"
"5943","College Grad","Married","more 99999"
"5944","College Grad","Married","more 99999"
"5945","College Grad","Married","more 99999"
"5946","College Grad","Married","more 99999"
"5947","9 - 11th Grade","Married","<20000"
"5948","8th Grade","NeverMarried","<20000"
"5949","College Grad","Married","55000-64999"
"5950","College Grad","Married","more 99999"
"5951","College Grad","Married","more 99999"
"5952","College Grad","Married","more 99999"
"5953","College Grad","Married","more 99999"
"5954","College Grad","Married","more 99999"
"5955","College Grad","Married","more 99999"
"5956","9 - 11th Grade","Separated","<20000"
"5957","College Grad","Married","more 99999"
"5958","College Grad","Married","more 99999"
"5959","High School","Married","<20000"
"5960","High School","Married","25000-34999"
"5961","High School","NeverMarried","<20000"
"5962","College Grad","Married","45000-54999"
"5963","College Grad","Married","45000-54999"
"5964","College Grad","Married","45000-54999"
"5965","High School","NeverMarried","65000-74999"
"5966","High School","NeverMarried","20000-24999"
"5967","High School","Divorced","<20000"
"5968","College Grad","Divorced","45000-54999"
"5969","College Grad","Divorced","45000-54999"
"5970","College Grad","Divorced","45000-54999"
"5971","College Grad","Divorced","45000-54999"
"5972","College Grad","Married","more 99999"
"5973","Some College","NeverMarried","more 99999"
"5974","Some College","NeverMarried","more 99999"
"5975","Some College","NeverMarried","more 99999"
"5976","High School","Married","35000-44999"
"5977","High School","Married","35000-44999"
"5978","Some College","NeverMarried","35000-44999"
"5979","College Grad","Married","more 99999"
"5980","College Grad","Married","more 99999"
"5981","Some College","Separated","<20000"
"5982","9 - 11th Grade","NeverMarried","<20000"
"5983","High School","Divorced","35000-44999"
"5984","High School","Divorced","35000-44999"
"5985","High School","Divorced","35000-44999"
"5986","Some College","LivePartner","<20000"
"5987","College Grad","Married","more 99999"
"5988","College Grad","Married","35000-44999"
"5989","Some College","NeverMarried","65000-74999"
"5990","Some College","NeverMarried","65000-74999"
"5991","Some College","NeverMarried","65000-74999"
"5992","College Grad","Widowed","35000-44999"
"5993","Some College","Widowed","25000-34999"
"5994","Some College","Married","45000-54999"
"5995","Some College","Married","65000-74999"
"5996","Some College","Married","65000-74999"
"5997","Some College","Married","65000-74999"
"5998","Some College","NeverMarried","<20000"
"5999","Some College","NeverMarried","<20000"
"6000","Some College","NeverMarried","<20000"
"6001","High School","Married","35000-44999"
"6002","Some College","Married","65000-74999"
"6003","Some College","Married","65000-74999"
"6004","Some College","Widowed","55000-64999"
"6005","Some College","Widowed","55000-64999"
"6006","Some College","Widowed","55000-64999"
"6007","Some College","Widowed","55000-64999"
"6008","Some College","Widowed","55000-64999"
"6009","College Grad","NeverMarried","75000-99999"
"6010","High School","Widowed","25000-34999"
"6011","High School","Widowed","25000-34999"
"6012","High School","Widowed","25000-34999"
"6013","College Grad","Married","75000-99999"
"6014","College Grad","Married","75000-99999"
"6015","9 - 11th Grade","Married","35000-44999"
"6016","Some College","Married","35000-44999"
"6017","College Grad","Married","more 99999"
"6018","College Grad","Married","more 99999"
"6019","College Grad","Married","more 99999"
"6020","Some College","NeverMarried","<20000"
"6021","Some College","NeverMarried","<20000"
"6022","Some College","NeverMarried","<20000"
"6023","Some College","LivePartner","25000-34999"
"6024","Some College","NeverMarried","<20000"
"6025","Some College","NeverMarried","<20000"
"6026","High School","NeverMarried","55000-64999"
"6027","High School","NeverMarried","55000-64999"
"6028","8th Grade","Divorced","20000-24999"
"6029","8th Grade","NeverMarried","20000-24999"
"6030","8th Grade","NeverMarried","20000-24999"
"6031","9 - 11th Grade","Married","<20000"
"6032","9 - 11th Grade","Married","25000-34999"
"6033","Some College","Married","75000-99999"
"6034","Some College","Divorced","more 99999"
"6035","Some College","Divorced","more 99999"
"6036","Some College","Divorced","more 99999"
"6037","College Grad","Married","65000-74999"
"6038","College Grad","Married","65000-74999"
"6039","8th Grade","NeverMarried","<20000"
"6040","High School","Married","<20000"
"6041","8th Grade","NeverMarried","<20000"
"6042","9 - 11th Grade","Married","75000-99999"
"6043","9 - 11th Grade","Married","75000-99999"
"6044","9 - 11th Grade","Married","75000-99999"
"6045","College Grad","NeverMarried","<20000"
"6046","9 - 11th Grade","Married","55000-64999"
"6047","High School","Widowed","20000-24999"
"6048","Some College","Widowed","<20000"
"6049","Some College","Widowed","<20000"
"6050","Some College","Widowed","<20000"
"6051","Some College","NeverMarried","25000-34999"
"6052","College Grad","Married","more 99999"
"6053","College Grad","Married","more 99999"
"6054","College Grad","Married","more 99999"
"6055","College Grad","Married","more 99999"
"6056","Some College","NeverMarried","35000-44999"
"6057","9 - 11th Grade","NeverMarried","35000-44999"
"6058","Some College","Married","55000-64999"
"6059","8th Grade","Married","35000-44999"
"6060","8th Grade","Married","35000-44999"
"6061","College Grad","NeverMarried","25000-34999"
"6062","College Grad","NeverMarried","25000-34999"
"6063","High School","Widowed","35000-44999"
"6064","High School","Widowed","35000-44999"
"6065","Some College","NeverMarried","more 99999"
"6066","Some College","Separated","25000-34999"
"6067","College Grad","Married","<20000"
"6068","College Grad","Widowed","<20000"
"6069","Some College","Widowed","25000-34999"
"6070","Some College","Separated","<20000"
"6071","8th Grade","NeverMarried","<20000"
"6072","Some College","Divorced","45000-54999"
"6073","Some College","Divorced","45000-54999"
"6074","Some College","Divorced","45000-54999"
"6075","Some College","Married","75000-99999"
"6076","Some College","Married","75000-99999"
"6077","College Grad","Married","more 99999"
"6078","College Grad","Married","more 99999"
"6079","Some College","NeverMarried","<20000"
"6080","College Grad","Married","more 99999"
"6081","High School","Divorced","25000-34999"
"6082","High School","Divorced","25000-34999"
"6083","Some College","NeverMarried","20000-24999"
"6084","Some College","NeverMarried","20000-24999"
"6085","College Grad","Married","65000-74999"
"6086","College Grad","LivePartner","more 99999"
"6087","College Grad","LivePartner","more 99999"
"6088","College Grad","LivePartner","more 99999"
"6089","College Grad","LivePartner","more 99999"
"6090","8th Grade","Widowed","<20000"
"6091","9 - 11th Grade","Divorced","45000-54999"
"6092","9 - 11th Grade","LivePartner","55000-64999"
"6093","9 - 11th Grade","LivePartner","55000-64999"
"6094","9 - 11th Grade","LivePartner","55000-64999"
"6095","9 - 11th Grade","Married","45000-54999"
"6096","Some College","Divorced","45000-54999"
"6097","Some College","Divorced","45000-54999"
"6098","College Grad","Married","75000-99999"
